dispnum3,incidnum3,dispnum4,incidnum4,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3555,3555007,-9,-9,YUG,345,23,4,1992,23,4,1992,0,0,-9,-9,17,4,1,0,4.3000002
3555,3555007,-9,-9,CRO,344,23,4,1992,23,4,1992,1,1,0,0,17,4,1,0,4.3000002
3555,3555008,-9,-9,CRO,344,24,4,1992,24,4,1992,0,1,-9,-9,17,4,1,0,4.3000002
3555,3555008,-9,-9,YUG,345,24,4,1992,24,4,1992,1,0,2,-9,17,4,1,0,4.3000002
3555,3555009,-9,-9,YUG,345,10,7,1992,10,7,1992,0,0,0,0,0,1,0,0,4.3000002
3555,3555009,-9,-9,CRO,344,10,7,1992,10,7,1992,1,1,0,0,11,3,1,0,4.3000002
3556,3556001,-9,-9,CRO,344,20,10,1992,28,10,1992,1,1,3,-9,17,4,1,0,4.3000002
3556,3556001,-9,-9,BOS,346,20,10,1992,28,10,1992,0,0,3,-9,17,4,1,0,4.3000002
3556,3556002,-9,-9,CRO,344,26,10,1992,26,10,1992,0,1,0,0,0,1,0,0,4.3000002
3556,3556002,-9,-9,BOS,346,26,10,1992,26,10,1992,1,0,0,0,11,3,1,2,4.3000002
3557,3557001,-9,-9,BOS,346,6,4,1992,6,4,1992,0,0,0,0,0,1,0,0,4.3000002
3557,3557001,-9,-9,YUG,345,6,4,1992,6,4,1992,1,1,0,0,7,3,2,0,4.3000002
3557,3557002,-9,-9,BOS,346,14,4,1992,14,4,1992,0,0,-9,-9,17,4,1,0,4.3000002
3557,3557002,-9,-9,YUG,345,14,4,1992,14,4,1992,1,1,-9,-9,17,4,1,0,4.3000002
3557,3557003,-9,-9,BOS,346,20,4,1992,22,4,1992,0,0,-9,-9,17,4,1,0,4.3000002
3557,3557003,-9,-9,YUG,345,20,4,1992,22,4,1992,1,1,-9,-9,17,4,1,0,4.3000002
3557,3557004,-9,-9,BOS,346,2,5,1992,2,5,1992,0,0,-9,-9,17,4,1,0,4.3000002
3557,3557004,-9,-9,YUG,345,2,5,1992,2,5,1992,1,1,-9,-9,17,4,1,0,4.3000002
3557,3557005,-9,-9,BOS,346,8,5,1992,8,5,1992,0,0,0,0,0,1,0,0,4.3000002
3557,3557005,-9,-9,YUG,345,8,5,1992,8,5,1992,1,1,0,0,16,4,1,0,4.3000002
3557,3557006,-9,-9,YUG,345,11,5,1992,11,5,1992,0,1,-9,-9,17,4,1,0,4.3000002
3557,3557006,-9,-9,BOS,346,11,5,1992,11,5,1992,1,0,-9,-9,17,4,1,0,4.3000002
3557,3557007,-9,-9,YUG,345,28,5,1992,28,5,1992,0,1,1,1,17,4,1,0,4.3000002
3557,3557007,-9,-9,BOS,346,28,5,1992,28,5,1992,1,0,-9,-9,17,4,1,0,4.3000002
3557,3557008,-9,-9,BOS,346,25,8,1992,25,8,1992,0,0,-9,-9,0,1,0,0,4.3000002
3557,3557008,-9,-9,YUG,345,25,8,1992,25,8,1992,1,1,0,0,16,4,1,0,4.3000002
3557,3557009,-9,-9,BOS,346,15,12,1992,15,12,1992,0,0,-9,-9,0,1,0,0,4.3000002
3557,3557009,-9,-9,YUG,345,15,12,1992,15,12,1992,1,1,0,0,16,4,1,0,4.3000002
3557,3557010,-9,-9,BOS,346,17,1,1993,18,1,1993,0,0,-9,-9,17,4,1,0,4.3000002
3557,3557010,-9,-9,YUG,345,17,1,1993,18,1,1993,1,1,-9,-9,17,4,1,0,4.3000002
3557,3557011,-9,-9,BOS,346,25,1,1993,25,1,1993,0,0,0,0,0,1,0,0,4.3000002
3557,3557011,-9,-9,YUG,345,25,1,1993,25,1,1993,1,1,0,0,8,3,1,0,4.3000002
3561,3561001,-9,-9,GRG,372,13,6,1992,13,6,1992,0,0,3,12,17,4,2,0,4.3000002
3561,3561001,-9,-9,RUS,365,13,6,1992,13,6,1992,1,1,3,3,17,4,2,0,4.3000002
3561,3561002,-9,-9,RUS,365,18,6,1992,18,6,1992,1,1,2,0,16,4,2,0,4.3000002
3561,3561002,-9,-9,GRG,372,18,6,1992,18,6,1992,0,0,3,-9,0,1,0,0,4.3000002
3561,3561003,-9,-9,RUS,365,4,10,1992,4,10,1992,1,1,2,0,1,2,2,0,4.3000002
3561,3561003,-9,-9,GRG,372,4,10,1992,4,10,1992,0,0,2,0,0,1,0,0,4.3000002
3561,3561004,-9,-9,GRG,372,5,10,1992,5,10,1992,1,0,2,0,11,3,2,0,4.3000002
3561,3561004,-9,-9,RUS,365,5,10,1992,5,10,1992,0,1,2,0,0,1,0,0,4.3000002
3561,3561005,-9,-9,RUS,365,5,10,1992,5,10,1992,1,1,2,0,7,3,2,0,4.3000002
3561,3561005,-9,-9,GRG,372,5,10,1992,5,10,1992,0,0,2,0,0,1,0,0,4.3000002
3561,3561006,-9,-9,RUS,365,4,12,1992,4,12,1992,1,1,2,0,16,4,2,0,4.3000002
3561,3561006,-9,-9,GRG,372,4,12,1992,4,12,1992,0,0,2,0,0,1,0,0,4.3000002
3561,3561007,-9,-9,GRG,372,6,12,1992,6,12,1992,1,0,2,0,17,4,2,0,4.3000002
3561,3561007,-9,-9,RUS,365,6,12,1992,6,12,1992,0,1,1,-9,17,4,2,0,4.3000002
3561,3561008,-9,-9,GRG,372,14,12,1992,14,12,1992,1,0,2,0,16,4,2,0,4.3000002
3561,3561008,-9,-9,RUS,365,14,12,1992,14,12,1992,0,1,3,-9,0,1,0,0,4.3000002
3561,3561009,-9,-9,RUS,365,17,12,1992,17,12,1992,1,1,2,0,8,3,2,0,4.3000002
3561,3561009,-9,-9,GRG,372,17,12,1992,17,12,1992,0,0,2,0,0,1,0,0,4.3000002
3561,3561010,-9,-9,GRG,372,20,2,1993,20,2,1993,0,0,-9,-9,0,1,0,0,4.3000002
3561,3561010,-9,-9,RUS,365,20,2,1993,20,2,1993,1,1,-9,-9,16,4,2,1,4.3000002
3561,3561011,-9,-9,RUS,365,20,2,1993,20,2,1993,0,1,-9,-9,0,1,0,0,4.3000002
3561,3561011,-9,-9,GRG,372,20,2,1993,20,2,1993,1,0,-9,-9,16,4,1,0,4.3000002
3561,3561012,-9,-9,GRG,372,13,3,1993,13,3,1993,0,0,-9,-9,0,1,0,0,4.3000002
3561,3561012,-9,-9,RUS,365,13,3,1993,13,3,1993,1,1,-9,-9,16,4,2,0,4.3000002
3561,3561013,-9,-9,RUS,365,16,3,1993,18,3,1993,0,1,0,0,0,1,0,0,4.3000002
3561,3561013,-9,-9,GRG,372,16,3,1993,18,3,1993,1,0,0,0,10,3,2,1,4.3000002
3561,3561014,-9,-9,GRG,372,16,3,1993,16,3,1993,0,0,0,0,0,1,0,0,4.3000002
3561,3561014,-9,-9,RUS,365,16,3,1993,16,3,1993,1,1,0,0,8,3,2,0,4.3000002
3561,3561015,-9,-9,GRG,372,16,3,1993,16,3,1993,0,0,-9,-9,0,1,0,0,4.3000002
3561,3561015,-9,-9,RUS,365,16,3,1993,16,3,1993,1,1,-9,-9,16,4,2,0,4.3000002
3561,3561016,-9,-9,RUS,365,17,3,1993,17,3,1993,0,1,-9,-9,0,1,0,0,4.3000002
3561,3561016,-9,-9,GRG,372,17,3,1993,17,3,1993,1,0,-9,-9,16,4,2,1,4.3000002
3561,3561017,-9,-9,GRG,372,18,3,1993,18,3,1993,0,0,0,0,0,1,0,0,4.3000002
3561,3561017,-9,-9,RUS,365,18,3,1993,18,3,1993,1,1,0,0,1,2,2,0,4.3000002
3561,3561018,-9,-9,GRG,372,19,3,1993,19,3,1993,0,0,0,0,0,1,0,0,4.3000002
3561,3561018,-9,-9,RUS,365,19,3,1993,19,3,1993,1,1,0,0,12,3,2,1,4.3000002
3561,3561019,-9,-9,RUS,365,19,3,1993,19,3,1993,0,1,1,1,0,1,0,0,4.3000002
3561,3561019,-9,-9,GRG,372,19,3,1993,19,3,1993,1,0,0,0,16,4,2,0,4.3000002
